seed,length,pool_acc,pool_time,lstm_acc,lstm_time
42,100,0.8393939393939394,17.846616983413696,0.8136363636363636,31.021317958831787
42,200,0.9022727272727272,19.263301849365234,0.8742424242424243,50.4925479888916
42,300,0.9196969696969696,15.783783912658691,0.9037878787878788,69.63073682785034
42,400,0.9363636363636364,17.593636751174927,0.8962121212121212,87.97551441192627
42,500,0.937878787878788,17.92393207550049,0.9143939393939394,108.77854323387146
123,100,0.8446969696969697,18.014289617538452,0.8325757575757575,30.408495903015137
123,200,0.9,16.359683752059937,0.8689393939393939,43.374048471450806
123,300,0.9204545454545454,14.198015451431274,0.7924242424242425,67.12134552001953
123,400,0.9333333333333332,18.852399826049805,0.6666666666666666,29.07453775405884
123,500,0.9363636363636364,18.64805030822754,0.9151515151515152,104.2555012702942
789,100,0.8492424242424242,17.508395195007324,0.8166666666666667,33.87749624252319
789,200,0.9030303030303032,22.54578137397766,0.5424242424242425,18.30726194381714
789,300,0.9204545454545454,17.090651988983154,0.8962121212121212,68.37968826293945
789,400,0.9363636363636364,19.869471549987797,0.9113636363636364,85.81775259971619
789,500,0.9401515151515152,22.24457359313965,0.9204545454545454,106.13363075256348
