seed,model,epoch,train_loss,val_mse
42,CNN+Pooling,5,0.1524,0.1659
42,CNN+Pooling,10,0.1372,0.1159
42,CNN+Pooling,15,0.1279,0.1184
42,CNN+LSTM,5,0.1568,0.1857
42,CNN+LSTM,10,0.1154,0.215
42,CNN+LSTM,15,0.0785,0.2054
123,CNN+Pooling,5,0.1686,0.1577
123,CNN+Pooling,10,0.1447,0.0922
123,CNN+Pooling,15,0.1336,0.1981
123,CNN+Pooling,20,0.1256,0.1547
123,CNN+LSTM,5,0.1629,0.2895
123,CNN+LSTM,10,0.0978,0.275
123,CNN+LSTM,15,0.0751,0.2147
123,CNN+LSTM,20,0.0418,0.3123
123,CNN+LSTM,25,0.0316,0.3849
123,CNN+LSTM,30,0.0455,0.338
789,CNN+Pooling,5,0.1667,0.2475
789,CNN+Pooling,10,0.1415,0.1595
789,CNN+Pooling,15,0.132,0.1926
789,CNN+LSTM,5,0.1472,0.1835
789,CNN+LSTM,10,0.0964,0.2047
789,CNN+LSTM,15,0.0596,0.2205
