length,mean_acc,std_acc,seed_0,seed_42,seed_123,seed_256,seed_789
30,0.9016,0.026521605448304904,0.904,0.9197777777777778,0.8497777777777777,0.9191111111111111,0.9153333333333333
31,0.8752888888888888,0.0230543748024288,0.8773333333333333,0.9157777777777778,0.8733333333333333,0.8453333333333334,0.8646666666666667
32,0.8820888888888889,0.02875270465002134,0.912,0.9162222222222223,0.8731111111111111,0.8391111111111111,0.87
33,0.8682666666666667,0.007512820318349323,0.8777777777777778,0.8762222222222222,0.8644444444444445,0.8646666666666667,0.8582222222222222
34,0.8664888888888889,0.00852522763173156,0.8795555555555555,0.8591111111111112,0.8717777777777778,0.866,0.856
35,0.8591555555555555,0.009482823979030903,0.8537777777777777,0.8697777777777778,0.8653333333333333,0.8433333333333334,0.8635555555555555
36,0.8621333333333332,0.005205125678918167,0.8673333333333333,0.8571111111111112,0.8557777777777777,0.8686666666666667,0.8617777777777778
37,0.8576888888888888,0.006375260827392391,0.8606666666666667,0.8566666666666667,0.8657777777777778,0.8464444444444444,0.8588888888888889
38,0.856711111111111,0.011196472107513192,0.8606666666666667,0.8753333333333333,0.8571111111111112,0.8455555555555555,0.8448888888888889
39,0.8510666666666667,0.006176658571680276,0.8513333333333334,0.8417777777777777,0.8611111111111112,0.8493333333333334,0.8517777777777777
40,0.8503555555555555,0.014525652064579921,0.862,0.8417777777777777,0.8266666666666667,0.8546666666666667,0.8666666666666667
41,0.8350222222222221,0.007647286293471759,0.824,0.8424444444444444,0.8355555555555556,0.844,0.8291111111111111
42,0.8540000000000001,0.0211365928085762,0.8931111111111111,0.8513333333333334,0.83,0.8524444444444444,0.8431111111111111
43,0.8609777777777777,0.029386685487659478,0.8971111111111111,0.8948888888888888,0.8435555555555555,0.844,0.8253333333333334
44,0.8748888888888888,0.03282185360509175,0.9002222222222223,0.9011111111111111,0.8168888888888889,0.8597777777777778,0.8964444444444445
45,0.8950222222222222,0.005304738156929163,0.902,0.8995555555555556,0.8906666666666667,0.8951111111111111,0.8877777777777778
46,0.902311111111111,0.006469071717711047,0.9088888888888889,0.9071111111111111,0.8928888888888888,0.9064444444444445,0.8962222222222223
47,0.8952444444444444,0.009810651807545135,0.9051111111111111,0.9046666666666666,0.8984444444444445,0.888,0.88
48,0.8884888888888888,0.024266585266448735,0.9028888888888889,0.8966666666666666,0.9055555555555556,0.8404444444444444,0.8968888888888888
49,0.8997333333333334,0.004416355684369676,0.9042222222222223,0.9057777777777778,0.8951111111111111,0.8957777777777778,0.8977777777777778
50,0.9046222222222223,0.0024480781073636187,0.9037777777777778,0.9044444444444445,0.9024444444444445,0.9093333333333333,0.9031111111111111
