seed,model,window,test_acc
42,Pool,highvar_120_140,0.9284444444444444
42,LSTM,highvar_120_140,0.9217777777777778
42,Pool,lowvar_75_95,0.8502222222222222
42,LSTM,lowvar_75_95,0.8424444444444444
123,Pool,highvar_120_140,0.9164444444444444
123,LSTM,highvar_120_140,0.8957777777777778
123,Pool,lowvar_75_95,0.8384444444444444
123,LSTM,lowvar_75_95,0.854
789,Pool,highvar_120_140,0.9291111111111111
789,LSTM,highvar_120_140,0.8995555555555556
789,Pool,lowvar_75_95,0.8555555555555555
789,LSTM,lowvar_75_95,0.8537777777777777
